resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,fastestLapTime,statusId
50,1071,20,117,5,11,10,"10",10,0,24,"+34.867",1784426,5,"1:13.558",1
51,1071,817,1,3,8,11,"11",11,0,24,"+35.869",1785428,9,"1:13.463",1
52,1071,4,214,14,9,12,"12",12,0,24,"+36.578",1786137,4,"1:13.397",1
53,1071,841,51,99,14,13,"13",13,0,24,"+41.880",1791439,11,"1:13.627",1
54,1071,840,117,18,15,14,"14",14,0,24,"+44.037",1793596,9,"1:13.666",1
55,1071,852,213,22,12,15,"15",15,0,24,"+46.150",1795709,11,"1:13.747",1
56,1071,849,3,6,16,16,"16",16,0,24,"+46.760",1796319,7,"1:13.934",1
57,1071,847,3,63,17,17,"17",17,0,24,"+47.739",1797298,14,"1:14.056",1
58,1071,8,51,7,13,18,"18",18,0,24,"+50.014",1799573,9,"1:13.900",1
59,1071,854,210,47,18,19,"19",19,0,24,"+1:01.680",1811239,9,"1:14.387",1
60,1071,853,210,9,19,20,"20",20,0,24,"+1:07.474",1817033,6,"1:14.583",1
61,1077,830,9,1,1,1,"1",1,8,21,"30:39.567",1839567,14,"1:19.154",1
62,1077,844,6,16,2,2,"2",2,7,21,"+2.975",1842542,11,"1:19.044",1
63,1077,815,9,11,7,3,"3",3,6,21,"+4.721",1844288,14,"1:19.012",1
64,1077,832,6,55,10,4,"4",4,5,21,"+17.578",1857145,14,"1:19.251",1
65,1077,846,1,4,3,5,"5",5,4,21,"+24.561",1864128,9,"1:20.030",1
66,1077,817,1,3,6,6,"6",6,3,21,"+27.740",1867307,12,"1:20.328",1
67,1077,822,51,77,8,7,"7",7,2,21,"+28.133",1867700,9,"1:20.219",1
68,1077,825,210,20,4,8,"8",8,1,21,"+30.712",1870279,6,"1:20.557",1
69,1077,4,214,14,5,9,"9",9,0,21,"+32.278",1871845,10,"1:20.639",1
70,1077,854,210,47,12,10,"10",10,0,21,"+33.773",1873340,15,"1:20.567",1
71,1077,847,131,63,11,11,"11",11,0,21,"+36.284",1875851,19,"1:20.756",1
72,1077,852,213,22,16,12,"12",12,0,21,"+38.298",1877865,20,"1:20.909",1
73,1077,20,117,5,9,13,"13",13,0,21,"+40.177",1879744,8,"1:21.044",1
74,1077,1,131,44,13,14,"14",14,0,21,"+41.459",1881026,9,"1:20.663",1
75,1077,840,117,18,15,15,"15",15,0,21,"+42.910",1882477,14,"1:20.948",1
76,1077,839,214,31,19,16,"16",16,0,21,"+43.517",1883084,14,"1:20.995",1
77,1077,842,213,10,17,17,"17",17,0,21,"+43.794",1883361,18,"1:20.599",1
78,1077,848,3,23,20,18,"18",18,0,21,"+48.871",1888438,14,"1:21.020",1
79,1077,849,3,6,18,19,"19",19,0,21,"+52.017",1891584,16,"1:21.437",1
80,1077,855,51,24,0,\N,"R",20,0,0,\N,\N,\N,\N,31
81,1084,830,9,1,1,1,"1",1,8,23,"26:30.059",1590059,5,"1:08.455",1
82,1084,844,6,16,2,2,"2",2,7,23,"+1.675",1591734,4,"1:08.321",1
83,1084,832,6,55,3,3,"3",3,6,23,"+5.644",1595703,4,"1:08.409",1
84,1084,847,131,63,4,4,"4",4,5,23,"+13.429",1603488,4,"1:08.979",1
85,1084,815,9,11,13,5,"5",5,4,23,"+18.302",1608361,14,"1:09.137",1
86,1084,839,214,31,5,6,"6",6,3,23,"+31.032",1621091,4,"1:09.384",1
87,1084,825,210,20,6,7,"7",7,2,23,"+34.539",1624598,4,"1:09.232",1
88,1084,1,131,44,9,8,"8",8,1,23,"+35.447",1625506,7,"1:09.516",1
89,1084,854,210,47,7,9,"9",9,0,23,"+37.163",1627222,4,"1:09.457",1
90,1084,822,51,77,12,10,"10",10,0,23,"+37.557",1627616,4,"1:09.674",1
91,1084,846,1,4,15,11,"11",11,0,23,"+38.580",1628639,8,"1:09.909",1
92,1084,817,1,3,16,12,"12",12,0,23,"+39.738",1629797,8,"1:09.996",1
93,1084,840,117,18,17,13,"13",13,0,23,"+48.241",1638300,4,"1:10.295",1
94,1084,855,51,24,18,14,"14",14,0,23,"+50.753",1640812,11,"1:10.165",1
95,1084,842,213,10,10,15,"15",15,0,23,"+52.125",1642184,4,"1:10.409",1
96,1084,848,3,23,11,16,"16",16,0,23,"+52.412",1642471,5,"1:10.367",1
97,1084,852,213,22,14,17,"17",17,0,23,"+54.556",1644615,4,"1:10.267",1
98,1084,849,3,6,19,18,"18",18,0,23,"+1:08.694",1658753,4,"1:10.284",1
99,1084,20,117,5,20,19,"19",19,0,21,\N,\N,4,"1:10.317",130
100,1084,4,214,14,8,\N,"N",20,0,0,\N,\N,\N,\N,10
101,1095,847,131,63,3,1,"1",1,8,24,"30:11.307",1811307,4,"1:14.233",1
102,1095,832,6,55,5,2,"2",2,7,24,"+3.995",1815302,2,"1:14.522",1
103,1095,1,131,44,8,3,"3",3,6,24,"+4.492",1815799,3,"1:14.317",1
104,1095,830,9,1,2,4,"4",4,5,24,"+10.494",1821801,5,"1:14.507",1
105,1095,815,9,11,9,5,"5",5,4,24,"+11.855",1823162,5,"1:14.699",1
106,1095,844,6,16,10,6,"6",6,3,24,"+13.133",1824440,4,"1:15.236",1
107,1095,846,1,4,4,7,"7",7,2,24,"+25.624",1836931,4,"1:15.380",1
108,1095,825,210,20,1,8,"8",8,1,24,"+28.768",1840075,2,"1:15.110",1
109,1095,20,117,5,13,9,"9",9,0,24,"+30.218",1841525,4,"1:15.451",1
110,1095,842,213,10,12,10,"10",10,0,24,"+34.170",1845477,3,"1:15.290",1
111,1095,817,1,3,14,11,"11",11,0,24,"+39.395",1850702,5,"1:15.385",1
112,1095,854,210,47,20,12,"12",12,0,24,"+41.159",1852466,5,"1:15.771",1
113,1095,855,51,24,17,13,"13",13,0,24,"+41.763",1853070,7,"1:15.765",1
114,1095,822,51,77,18,14,"14",14,0,24,"+42.338",1853645,8,"1:15.980",1
115,1095,852,213,22,19,15,"15",15,0,24,"+50.306",1861613,4,"1:16.413",1
116,1095,840,117,18,15,16,"16",16,0,24,"+50.700",1862007,4,"1:15.425",1
117,1095,839,214,31,6,17,"17",17,0,24,"+51.756",1863063,5,"1:16.097",1
118,1095,4,214,14,7,18,"18",18,0,24,"+53.985",1865292,5,"1:14.764",1
119,1095,849,3,6,16,19,"19",19,0,24,"+1:16.850",1888157,4,"1:16.525",1
120,1095,848,3,23,11,\N,"R",20,0,12,\N,\N,4,"1:15.998",31
121,1101,815,9,11,2,1,"1",1,8,17,"33:17.667",1997667,11,"1:43.616",1
122,1101,844,6,16,1,2,"2",2,7,17,"+4.463",2002130,12,"1:43.646",1
123,1101,830,9,1,3,3,"3",3,6,17,"+5.065",2002732,10,"1:43.723",1
124,1101,847,131,63,4,4,"4",4,5,17,"+3.467",2001134,10,"1:44.409",1
125,1101,832,6,55,5,5,"5",5,4,17,"+10.388",2008055,11,"1:44.398",1
126,1101,4,117,14,8,6,"6",6,3,17,"+11.613",2009280,12,"1:44.544",1
127,1101,1,131,44,6,7,"7",7,2,17,"+4.890",2002557,8,"1:44.601",1
128,1101,840,117,18,9,8,"8",8,1,17,"+18.417",2016084,14,"1:44.855",1
129,1101,848,3,23,7,9,"9",9,0,17,"+21.757",2019424,10,"1:44.915",1
130,1101,857,1,81,11,10,"10",10,0,17,"+22.851",2020518,8,"1:44.776",1
131,1101,825,210,20,13,11,"11",11,0,17,"+27.990",2025657,14,"1:45.349",1
132,1101,855,51,24,14,12,"12",12,0,17,"+34.602",2032269,16,"1:45.766",1
133,1101,842,214,10,17,13,"13",13,0,17,"+36.918",2034585,12,"1:45.883",1
134,1101,856,213,21,18,14,"14",14,0,17,"+41.626",2039293,17,"1:45.768",1
135,1101,807,210,27,12,15,"15",15,0,17,"+48.587",2046254,8,"1:45.971",1
136,1101,822,51,77,15,16,"16",16,0,17,"+49.917",2047584,9,"1:46.277",1
137,1101,846,1,4,10,17,"17",17,0,17,"+51.104",2048771,15,"1:44.484",1
138,1101,839,214,31,0,18,"18",18,0,17,"+1:00.621",2058288,15,"1:45.090",1
139,1101,852,213,22,16,\N,"R",19,0,2,\N,\N,\N,\N,130
140,1101,858,3,2,0,\N,"W",20,0,0,\N,\N,\N,\N,3
141,1107,830,9,1,1,1,"1",1,8,24,"30:26.730",1826730,19,"1:14.292",1
142,1107,815,9,11,2,2,"2",2,7,24,"+21.048",1847778,16,"1:15.492",1
143,1107,832,6,55,5,3,"3",3,6,24,"+23.088",1849818,16,"1:15.457",1
144,1107,840,117,18,7,4,"4",4,5,24,"+29.703",1856433,23,"1:15.531",1
145,1107,4,117,14,6,5,"5",5,4,24,"+30.109",1856839,18,"1:14.978",1
146,1107,807,210,27,4,6,"6",6,3,24,"+31.297",1858027,24,"1:10.180",1
147,1107,839,214,31,8,7,"7",7,2,24,"+36.602",1863332,22,"1:15.512",1
148,1107,847,131,63,15,8,"8",8,1,24,"+36.611",1863341,23,"1:10.385",1
149,1107,846,1,4,3,9,"9",9,0,24,"+38.608",1865338,19,"1:15.627",1
150,1107,1,131,44,18,10,"10",10,0,24,"+46.375",1873105,24,"1:10.775",1
151,1107,857,1,81,17,11,"11",11,0,24,"+49.807",1876537,24,"1:10.274",1
152,1107,844,6,16,9,12,"12",12,0,24,"+50.789",1877519,24,"1:10.686",1
153,1107,848,3,23,11,13,"13",13,0,24,"+52.848",1879578,24,"1:11.635",1
154,1107,825,210,20,10,14,"14",14,0,24,"+56.593",1883323,23,"1:10.539",1
155,1107,842,214,10,12,15,"15",15,0,24,"+57.652",1884382,22,"1:16.109",1
156,1107,852,213,22,13,16,"16",16,0,24,"+1:04.822",1891552,23,"1:11.363",1
157,1107,856,213,21,14,17,"17",17,0,24,"+1:05.617",1892347,22,"1:11.701",1
158,1107,858,3,2,20,18,"18",18,0,24,"+1:06.059",1892789,21,"1:11.829",1
159,1107,855,51,24,16,19,"19",19,0,24,"+1:10.825",1897555,22,"1:11.305",1
160,1107,822,51,77,0,20,"20",20,0,24,"+1:16.435",1903165,22,"1:16.758",1
161,1110,830,9,1,1,1,"1",1,8,11,"24:58.433",1498433,6,"1:58.943",1
162,1110,857,1,81,2,2,"2",2,7,11,"+6.677",1505110,2,"2:00.360",1
163,1110,842,214,10,6,3,"3",3,6,11,"+10.733",1509166,6,"2:01.857",1
164,1110,832,6,55,3,4,"4",4,5,11,"+12.648",1511081,7,"2:01.472",1
165,1110,844,6,16,4,5,"5",5,4,11,"+15.016",1513449,7,"2:02.635",1
166,1110,846,1,4,5,6,"6",6,3,11,"+16.052",1514485,8,"2:02.085",1
167,1110,1,131,44,7,7,"7",7,2,11,"+16.757",1515190,7,"2:00.920",1
168,1110,847,131,63,10,8,"8",8,1,11,"+16.822",1515255,10,"2:01.935",1
169,1110,839,214,31,9,9,"9",9,0,11,"+22.410",1520843,6,"2:03.061",1
170,1110,817,213,3,11,10,"10",10,0,11,"+22.806",1521239,8,"2:02.967",1
171,1110,840,117,18,14,11,"11",11,0,11,"+25.007",1523440,6,"2:03.356",1
172,1110,848,3,23,12,12,"12",12,0,11,"+26.303",1524736,6,"2:03.674",1
173,1110,822,51,77,17,13,"13",13,0,11,"+27.006",1525439,6,"2:03.595",1
174,1110,825,210,20,18,14,"14",14,0,11,"+32.986",1531419,6,"2:03.965",1
175,1110,855,51,24,19,15,"15",15,0,11,"+36.342",1534775,6,"2:04.760",1
176,1110,858,3,2,13,16,"16",16,0,11,"+37.571",1536004,6,"2:03.482",1
177,1110,807,210,27,20,17,"17",17,0,11,"+37.827",1536260,6,"2:03.472",1
178,1110,852,213,22,16,18,"18",18,0,11,"+39.267",1537700,7,"2:02.080",1
179,1110,815,9,11,8,\N,"R",19,0,8,\N,\N,2,"2:02.516",130
180,1110,4,117,14,15,\N,"R",20,0,2,\N,\N,\N,\N,3
181,1115,857,1,81,1,1,"1",1,8,19,"35:01.297",2101297,17,"1:25.926",1
182,1115,830,9,1,3,2,"2",2,7,19,"+1.871",2103168,17,"1:25.604",1
183,1115,846,1,4,2,3,"3",3,6,19,"+8.497",2109794,19,"1:25.662",1
184,1115,847,131,63,4,4,"4",4,5,19,"+11.036",2112333,18,"1:27.220",1
185,1115,1,131,44,12,5,"5",5,4,19,"+17.314",2118611,19,"1:27.968",1
186,1115,832,6,55,5,6,"6",6,3,19,"+18.806",2120103,7,"1:28.644",1
187,1115,848,3,23,17,7,"7",7,2,19,"+19.864",2121161,16,"1:28.717",1
188,1115,4,117,14,9,8,"8",8,1,19,"+21.180",2122477,16,"1:28.717",1
189,1115,842,214,10,11,9,"9",9,0,19,"+21.742",2123039,16,"1:28.769",1
190,1115,822,51,77,13,10,"10",10,0,19,"+22.208",2123505,17,"1:29.017",1
191,1115,852,213,22,18,11,"11",11,0,19,"+22.863",2124160,17,"1:29.381",1
192,1115,844,6,16,6,12,"12",12,0,19,"+24.860",2126157,8,"1:28.759",1
193,1115,840,117,18,16,13,"13",13,0,19,"+24.523",2125820,17,"1:29.536",1
194,1115,825,210,20,19,14,"14",14,0,19,"+24.970",2126267,17,"1:29.560",1
195,1115,855,51,24,15,15,"15",15,0,19,"+26.868",2128165,17,"1:29.553",1
196,1115,807,210,27,7,\N,"R",16,0,11,\N,\N,9,"1:29.307",31
197,1115,839,214,31,10,\N,"R",17,0,10,\N,\N,8,"1:29.388",31
198,1115,815,9,11,8,\N,"R",18,0,10,\N,\N,9,"1:28.584",31
199,1115,858,3,2,20,\N,"R",19,0,2,\N,\N,2,"2:03.562",31
200,1115,859,213,40,14,\N,"R",20,0,0,\N,\N,\N,\N,31
201,1116,830,9,1,1,1,"1",1,8,19,"31:30.849",1890849,2,"1:39.060",1
202,1116,1,131,44,3,2,"2",2,7,19,"+9.465",1900314,3,"1:39.138",1
203,1116,844,6,16,2,3,"3",3,6,19,"+17.987",1908836,3,"1:39.634",1
204,1116,846,1,4,4,4,"4",4,5,19,"+18.863",1909712,15,"1:39.795",1
205,1116,815,9,11,7,5,"5",5,4,19,"+22.928",1913777,6,"1:39.824",1
206,1116,832,6,55,6,6,"6",6,3,19,"+28.307",1919156,5,"1:40.223",1
207,1116,842,214,10,9,7,"7",7,2,19,"+32.403",1923252,5,"1:40.155",1
208,1116,847,131,63,11,8,"8",8,1,19,"+34.250",1925099,10,"1:40.253",1
209,1116,848,3,23,8,9,"9",9,0,19,"+34.567",1925416,17,"1:40.094",1
210,1116,857,1,81,5,10,"10",10,0,19,"+42.403",1933252,16,"1:41.037",1
211,1116,839,214,31,13,11,"11",11,0,19,"+44.986",1935835,15,"1:41.013",1
212,1116,817,213,3,10,12,"12",12,0,19,"+45.509",1936358,14,"1:40.434",1
213,1116,4,117,14,12,13,"13",13,0,19,"+49.086",1939935,16,"1:40.805",1
214,1116,852,213,22,19,14,"14",14,0,19,"+49.733",1940582,17,"1:40.632",1
215,1116,807,210,27,16,15,"15",15,0,19,"+56.650",1947499,18,"1:41.232",1
216,1116,822,51,77,18,16,"16",16,0,19,"+1:04.401",1955250,18,"1:41.503",1
217,1116,855,51,24,15,17,"17",17,0,19,"+1:07.972",1958821,18,"1:41.595",1
218,1116,825,210,20,17,18,"18",18,0,19,"+1:11.122",1961971,3,"1:41.699",1
219,1116,858,3,2,20,19,"19",19,0,19,"+1:11.449",1962298,6,"1:41.947",1
220,1116,840,117,18,14,\N,"R",20,0,16,\N,\N,5,"1:41.460",23
221,1118,830,9,1,2,1,"1",1,8,24,"30:07.209",1807209,3,"1:14.540",1
222,1118,846,1,4,1,2,"2",2,7,24,"+4.287",1811496,3,"1:14.647",1
223,1118,815,9,11,3,3,"3",3,6,24,"+13.617",1820826,2,"1:15.008",1
224,1118,847,131,63,4,4,"4",4,5,24,"+25.879",1833088,2,"1:14.422",1
225,1118,844,6,16,7,5,"5",5,4,24,"+28.560",1835769,3,"1:15.411",1
226,1118,852,213,22,6,6,"6",6,3,24,"+29.210",1836419,2,"1:15.532",1
227,1118,1,131,44,5,7,"7",7,2,24,"+34.726",1841935,2,"1:15.276",1
228,1118,832,6,55,9,8,"8",8,1,24,"+35.106",1842315,3,"1:15.362",1
229,1118,817,213,3,8,9,"9",9,0,24,"+35.303",1842512,2,"1:15.460",1
230,1118,857,1,81,10,10,"10",10,0,24,"+38.219",1845428,2,"1:15.463",1
231,1118,4,117,14,15,11,"11",11,0,24,"+39.061",1846270,4,"1:15.477",1
232,1118,840,117,18,17,12,"12",12,0,24,"+39.478",1846687,3,"1:15.467",1
233,1118,842,214,10,13,13,"13",13,0,24,"+40.621",1847830,3,"1:15.209",1
234,1118,839,214,31,16,14,"14",14,0,24,"+42.848",1850057,3,"1:15.536",1
235,1118,848,3,23,19,15,"15",15,0,24,"+43.394",1850603,3,"1:15.598",1
236,1118,825,210,20,11,16,"16",16,0,24,"+56.507",1863716,3,"1:15.464",1
237,1118,855,51,24,18,17,"17",17,0,24,"+58.723",1865932,3,"1:15.837",1
238,1118,807,210,27,12,18,"18",18,0,24,"+1:00.330",1867539,3,"1:15.472",1
239,1118,822,51,77,14,19,"19",19,0,24,"+1:00.749",1867958,3,"1:15.738",1
240,1118,858,3,2,20,20,"20",20,0,24,"+1:00.945",1868154,4,"1:15.496",1
241,1125,830,9,1,4,1,"1",1,8,19,"32:04.660",1924660,3,"1:40.331",1
242,1125,1,131,44,2,2,"2",2,7,19,"+13.043",1937703,3,"1:40.420",1
243,1125,815,9,11,6,3,"3",3,6,19,"+15.258",1939918,4,"1:41.065",1
244,1125,844,6,16,7,4,"4",4,5,19,"+17.486",1942146,4,"1:41.003",1
245,1125,832,6,55,5,5,"5",5,4,19,"+20.696",1945356,4,"1:40.962",1
246,1125,846,1,4,1,6,"6",6,3,19,"+22.088",1946748,4,"1:40.951",1
247,1125,857,1,81,8,7,"7",7,2,19,"+24.713",1949373,3,"1:41.107",1
248,1125,847,131,63,11,8,"8",8,1,19,"+25.696",1950356,5,"1:41.505",1
249,1125,855,15,24,10,9,"9",9,0,19,"+31.951",1956611,4,"1:41.502",1
250,1125,825,210,20,12,10,"10",10,0,19,"+37.398",1962058,5,"1:42.092",1
251,1125,817,215,3,14,11,"11",11,0,19,"+37.840",1962500,6,"1:42.234",1
252,1125,822,15,77,9,12,"12",12,0,19,"+38.295",1962955,6,"1:42.140",1
253,1125,839,214,31,17,13,"13",13,0,19,"+39.841",1964501,4,"1:42.191",1
254,1125,840,117,18,15,14,"14",14,0,19,"+40.299",1964959,5,"1:42.258",1
255,1125,842,214,10,16,15,"15",15,0,19,"+40.838",1965498,4,"1:42.017",1
256,1125,852,215,22,19,16,"16",16,0,19,"+41.870",1966530,4,"1:42.056",1
257,1125,848,3,23,18,17,"17",17,0,19,"+42.998",1967658,8,"1:42.389",1
258,1125,858,3,2,20,18,"18",18,0,19,"+46.352",1971012,7,"1:42.516",1
259,1125,807,210,27,13,19,"19",19,0,19,"+49.630",1974290,5,"1:42.315",1
260,1125,4,117,14,3,20,"20",20,0,17,\N,\N,3,"1:40.537",31
261,1126,830,9,1,1,1,"1",1,8,19,"31:31.383",1891383,4,"1:30.415",1
262,1126,844,6,16,2,2,"2",2,7,19,"+3.371",1894754,4,"1:30.807",1
263,1126,815,9,11,3,3,"3",3,6,19,"+5.095",1896478,19,"1:30.921",1
264,1126,817,215,3,4,4,"4",4,5,19,"+14.971",1906354,4,"1:31.505",1
265,1126,832,6,55,5,5,"5",5,4,19,"+15.222",1906605,17,"1:31.568",1
266,1126,857,1,81,6,6,"6",6,3,19,"+15.750",1907133,19,"1:31.393",1
267,1126,807,210,27,10,7,"7",7,2,19,"+22.054",1913437,8,"1:31.963",1
268,1126,852,215,22,15,8,"8",8,1,19,"+29.816",1921199,16,"1:31.844",1
269,1126,842,214,10,16,9,"9",9,0,19,"+31.880",1923263,6,"1:32.148",1
270,1126,858,3,2,18,10,"10",10,0,19,"+34.355",1925738,6,"1:32.192",1
271,1126,855,15,24,17,11,"11",11,0,19,"+35.078",1926461,7,"1:32.131",1
272,1126,847,131,63,11,12,"12",12,0,19,"+35.755",1927138,8,"1:32.173",1
273,1126,848,3,23,20,13,"13",13,0,19,"+36.086",1927469,6,"1:32.223",1
274,1126,822,15,77,19,14,"14",14,0,19,"+36.892",1928275,7,"1:32.462",1
275,1126,839,214,31,13,15,"15",15,0,19,"+37.740",1929123,19,"1:32.218",1
276,1126,1,131,44,12,16,"16",16,0,19,"+49.347",1940730,16,"1:31.830",1
277,1126,4,117,14,8,17,"17",17,0,19,"+59.409",1950792,7,"1:32.355",1
278,1126,825,210,20,14,18,"18",18,0,19,"+1:06.303",1957686,5,"1:32.113",1
279,1126,840,117,18,7,19,"19",19,0,1,\N,\N,\N,\N,31
280,1126,846,1,4,9,20,"20",20,0,0,\N,\N,\N,\N,31
281,1131,830,9,1,1,1,"1",1,8,23,"26:41.389",1601389,8,"1:09.013",1
282,1131,857,1,81,3,2,"2",2,7,23,"+4.616",1606005,2,"1:08.980",1
283,1131,846,1,4,2,3,"3",3,6,23,"+5.348",1606737,2,"1:08.935",1
284,1131,847,131,63,4,4,"4",4,5,23,"+8.354",1609743,4,"1:09.194",1
285,1131,832,6,55,5,5,"5",5,4,23,"+9.989",1611378,4,"1:09.121",1
286,1131,1,131,44,6,6,"6",6,3,23,"+11.207",1612596,5,"1:09.265",1
287,1131,844,6,16,10,7,"7",7,2,23,"+13.424",1614813,5,"1:09.352",1
288,1131,815,9,11,7,8,"8",8,1,23,"+17.409",1618798,4,"1:09.420",1
289,1131,825,210,20,11,9,"9",9,0,23,"+24.067",1625456,13,"1:09.942",1
290,1131,840,117,18,12,10,"10",10,0,23,"+30.175",1631564,11,"1:10.260",1
291,1131,839,214,31,8,11,"11",11,0,23,"+30.839",1632228,9,"1:10.254",1
292,1131,842,214,10,9,12,"12",12,0,23,"+31.308",1632697,10,"1:10.168",1
293,1131,852,215,22,14,13,"13",13,0,23,"+35.452",1636841,5,"1:10.363",1
294,1131,817,215,3,16,14,"14",14,0,23,"+39.397",1640786,5,"1:10.480",1
295,1131,4,117,14,13,15,"15",15,0,23,"+43.155",1644544,5,"1:10.393",1
296,1131,858,3,2,15,16,"16",16,0,23,"+44.076",1645465,6,"1:10.488",1
297,1131,848,3,23,0,17,"17",17,0,23,"+44.673",1646062,8,"1:10.562",1
298,1131,822,15,77,18,18,"18",18,0,23,"+46.511",1647900,8,"1:10.590",1
299,1131,807,210,27,17,19,"19",19,0,23,"+48.423",1649812,4,"1:10.512",1
300,1131,855,15,24,19,20,"20",20,0,23,"+53.143",1654532,6,"1:10.613",1
